City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
Ambanja,MG,2020-04-03 17:08:01,-13.68,48.45,79.16,76,40,0.87,light rain,0.06614173228346457,0.0
Qingquan,CN,2020-04-03 17:08:02,30.45,115.26,56.77,77,94,2.53,overcast clouds,0.0,0.0
Mataura,NZ,2020-04-03 17:08:02,-46.19,168.86,46.99,96,99,2.3,overcast clouds,0.0,0.0
Mindelo,CV,2020-04-03 17:08:02,16.89,-24.98,82.4,51,20,21.92,few clouds,0.0,0.0
Conceicao Do Araguaia,BR,2020-04-03 17:08:02,-8.26,-49.26,91.4,59,75,3.36,broken clouds,0.0,0.0
Ushuaia,AR,2020-04-03 17:04:59,-54.8,-68.3,47.97,51,43,8.25,light rain,0.004330708661417323,0.0
Ulaanbaatar,MN,2020-04-03 17:08:03,47.91,106.88,23.0,57,0,2.24,clear sky,0.0,0.0
Enkoping,SE,2020-04-03 17:08:03,59.64,17.08,42.8,26,63,17.22,broken clouds,0.0,0.0
Hermanus,ZA,2020-04-03 17:08:03,-34.42,19.23,73.0,83,64,6.76,broken clouds,0.0,0.0
Constitucion,CL,2020-04-03 17:08:03,-35.33,-72.42,70.36,38,24,12.68,few clouds,0.0,0.0
Georgetown,MY,2020-04-03 17:08:03,5.41,100.34,82.4,88,20,2.24,few clouds,0.0,0.0
Ardakan,IR,2020-04-03 17:08:04,32.31,54.02,73.4,18,48,13.87,scattered clouds,0.0,0.0
Mount Gambier,AU,2020-04-03 17:08:04,-37.83,140.77,53.6,93,40,12.75,scattered clouds,0.0,0.0
Novi Sanzhary,UA,2020-04-03 17:08:04,49.34,34.31,46.02,52,0,7.87,clear sky,0.0,0.0
Hobart,AU,2020-04-03 17:05:23,-42.88,147.33,59.0,82,90,4.7,moderate rain,0.0,0.0
Tasiilaq,GL,2020-04-03 17:08:04,65.61,-37.64,24.8,53,75,17.22,broken clouds,0.0,0.0
Jamestown,US,2020-04-03 17:06:34,42.1,-79.24,46.0,60,75,14.99,broken clouds,0.0,0.0
Alofi,NU,2020-04-03 17:08:05,-19.06,-169.92,77.0,94,100,2.24,moderate rain,0.13543307086614173,0.0
Nanortalik,GL,2020-04-03 17:08:05,60.14,-45.24,29.73,81,0,4.45,clear sky,0.0,0.0
Cherskiy,RU,2020-04-03 17:08:05,68.75,161.3,-5.71,92,98,5.39,overcast clouds,0.0,0.0
Barahona,DO,2020-04-03 17:08:05,18.21,-71.1,84.2,58,40,9.17,scattered clouds,0.0,0.0
Klyuchi,RU,2020-04-03 17:08:06,52.27,79.17,33.48,89,63,7.72,broken clouds,0.0,0.0
Amahai,ID,2020-04-03 17:08:06,-3.33,128.92,79.99,80,41,5.88,light rain,0.004724409448818898,0.0
New Norfolk,AU,2020-04-03 17:08:06,-42.78,147.06,59.0,82,90,4.7,overcast clouds,0.0,0.0
Misratah,LY,2020-04-03 17:08:06,32.38,15.09,63.52,81,2,17.52,clear sky,0.0,0.0
Rikitea,PF,2020-04-03 17:08:06,-23.12,-134.97,77.38,76,16,13.33,light rain,0.007086614173228346,0.0
Kizhinga,RU,2020-04-03 17:08:06,51.85,109.91,33.69,64,20,1.81,few clouds,0.0,0.0
