City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
Mindelo,CV,82.4,16.89,-24.98,few clouds,Hotel Gaudi
Hermanus,ZA,73.0,-34.42,19.23,broken clouds,Misty Waves Boutique Hotel
Constitucion,CL,70.36,-35.33,-72.42,few clouds,Hotel Boutique Las Azucenas
Georgetown,MY,82.4,5.41,100.34,few clouds,Cititel Penang
Ardakan,IR,73.4,32.31,54.02,scattered clouds,Ardakan Hotel
Barahona,DO,84.2,18.21,-71.1,scattered clouds,Hotel Caribe
Inhambane,MZ,75.2,-23.86,35.38,drizzle,MHL Turismo SA
Miri,MY,80.6,4.41,114.01,broken clouds,"Mega Hotel, Miri"
Arraial Do Cabo,BR,86.0,-22.97,-42.03,scattered clouds,Pousada Porto Praia
Carnarvon,AU,73.4,-24.87,113.63,overcast clouds,Hospitality Carnarvon
Ribas Do Rio Pardo,BR,80.1,-20.44,-53.76,broken clouds,Ataíde Martins
Russell,US,75.0,32.35,-85.2,clear sky,Macs
Saint-Philippe,RE,78.8,-21.36,55.77,broken clouds,"Chambres d'hôte ""La Trinité"""
Butaritari,KI,82.89,3.07,172.79,scattered clouds,Isles Sunset Lodge
Grand Gaube,MU,75.2,-20.01,57.66,scattered clouds,Veranda Paul et Virginie Hotel & Spa
Bambous Virieux,MU,75.2,-20.34,57.76,scattered clouds,Casa Tia Villa
Port Victoria,KE,75.74,0.09,33.98,overcast clouds,Homepark motel
Oistins,BB,80.17,13.07,-59.53,overcast clouds,Butterfly Beach Hotel
San Cristobal,VE,84.2,7.77,-72.22,smoke,Pirineos
Vaini,TO,75.2,-21.2,-175.2,broken clouds,Keleti Beach Resort
Patti,IN,73.4,31.28,74.86,mist,Swami dera Geeta mandir
Puerto Ayora,EC,82.99,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
Bredasdorp,ZA,71.6,-34.53,20.04,broken clouds,Bredasdorp Country Manor
Avarua,CK,77.0,-21.21,-159.78,broken clouds,Paradise Inn
Port-Gentil,GA,86.0,-0.72,8.78,light rain,Fengshui Residence
Shahpura,IN,82.4,27.38,75.97,haze,Shahpura Haveli
Esna,EG,86.0,25.29,32.55,scattered clouds,Orient Star Dahabyia Isna 05 Nights Each Sunday
Port Elizabeth,ZA,71.6,-33.92,25.57,clear sky,39 On Nile Guest House
Mahebourg,MU,75.2,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
Cape Town,ZA,75.0,-33.93,18.42,broken clouds,Southern Sun Waterfront Cape Town
Port Alfred,ZA,73.53,-33.59,26.89,clear sky,The Halyards Hotel
East London,ZA,74.35,-33.02,27.91,broken clouds,Tu Casa
Kununurra,AU,84.2,-15.77,128.73,scattered clouds,Hotel Kununurra
Minab,IR,78.8,27.15,57.08,broken clouds,فروشگاه موبایل ترکمانی
Port Hedland,AU,77.0,-20.32,118.57,clear sky,The Esplanade Hotel
Wagar,SD,79.45,16.15,36.2,few clouds,
Benghazi,LY,79.23,32.12,20.07,clear sky,Tibesti Hotel
Nhulunbuy,AU,81.77,-12.23,136.77,broken clouds,East Arnhem Real Estate
Castro,BR,70.92,-24.79,-50.01,clear sky,CHACARA BAILLY
Mount Isa,AU,80.6,-20.73,139.5,broken clouds,ibis Styles Mt Isa Verona
Kupang,ID,81.66,-10.17,123.58,clear sky,Sylvia Hotel Premier Kupang
Bonthe,SL,84.67,7.53,-12.51,broken clouds,Bonthe Holiday Village
Wad Rawah,SD,89.17,15.16,33.14,scattered clouds,ود الترابي
Gulabpura,IN,77.72,25.9,74.67,clear sky,Hotel N chandra
Hun,LY,87.21,29.13,15.95,few clouds,Alrwasi Hotel
Gamba,GA,81.14,-2.65,10.0,overcast clouds,
Rawson,AR,76.71,-43.3,-65.1,scattered clouds,Hotel Punta León
Kapaa,US,71.6,22.08,-159.32,light rain,Sheraton Kauai Resort at Coconut Beach
Puerto Carreno,CO,89.6,6.19,-67.49,scattered clouds,Casa Hotel Victoria
Ayolas,PY,76.32,-27.4,-56.9,clear sky,Hotel Ayolas
Sao Filipe,CV,76.39,14.9,-24.5,scattered clouds,Tortuga B&B
Dingle,PH,78.26,11.0,122.67,clear sky,Camp Pasica
Salalah,OM,80.6,17.02,54.09,few clouds,HAMDAN PLAZA HOTEL
Waddan,LY,87.13,29.16,16.14,few clouds,محل الشريف محمد العايب
Abu Dhabi,AE,82.4,24.47,54.37,clear sky,Beach Rotana
Tautira,PF,78.8,-17.73,-149.15,scattered clouds,Pension Oaoa
Cockburn Town,TC,78.8,21.46,-71.14,broken clouds,Osprey Beach Hotel
Kabanjahe,ID,78.8,3.1,98.49,mist,Pelindung Bawah Losmen
Hambantota,LK,80.35,6.12,81.12,clear sky,Bungalow 63
Awbari,LY,85.08,26.59,12.78,clear sky,فندق أوباري
Alice Springs,AU,75.2,-23.7,133.88,clear sky,Desert Palms Alice Springs
Port Macquarie,AU,71.6,-31.43,152.92,broken clouds,Rydges Port Macquarie
Alyangula,AU,75.2,-13.85,136.42,few clouds,Groote Eylandt Lodge
Soyo,AO,81.93,-6.13,12.37,broken clouds,Hotel Mpampa
Sur,OM,81.36,22.57,59.53,clear sky,Sur Plaza Hotel
Souillac,MU,75.2,-20.52,57.52,scattered clouds,Bils' Villa
Porto Velho,BR,82.4,-8.76,-63.9,broken clouds,Ecos Hotel Conforto
Puerto Escondido,MX,80.6,15.85,-97.07,clear sky,Aldea del Bazar Hotel and Spa
Quatre Cocos,MU,75.2,-20.21,57.76,scattered clouds,Veranda Palmar Beach Hotel
Bowen,AU,70.0,-20.02,148.23,scattered clouds,Castle Motor Lodge Motel
Rafaela,AR,79.0,-31.25,-61.49,clear sky,Parra Hotel & Suites
Saldanha,ZA,86.0,-33.01,17.94,clear sky,Blue Bay Lodge
Avera,US,72.0,33.19,-82.53,clear sky,
Hervey Bay,AU,75.99,-25.3,152.85,scattered clouds,Shelly Bay Resort
Lufilufi,WS,84.61,-13.87,-171.6,broken clouds,Leuaina Beach Resort and Spa
Karratha,AU,83.55,-20.74,116.85,scattered clouds,ibis Styles Karratha
Wanning,CN,76.48,18.8,110.4,few clouds,Paradise Hotel
Aparecida Do Taboado,BR,84.51,-20.09,-51.09,scattered clouds,Aritana
Saint-Pierre,RE,78.8,-21.34,55.48,broken clouds,Lindsey Hôtel
Dalbandin,PK,77.09,28.89,64.41,clear sky,Gidaan Guest House
Atambua,ID,74.05,-9.11,124.89,few clouds,Pondok Pesantren Al Muhajirin Atambua
San Patricio,MX,80.6,19.22,-104.7,clear sky,Hotel Cabo Blanco
Kismayo,SO,84.07,-0.36,42.55,broken clouds,Agan-Hotel
Bucerias,MX,78.01,20.75,-105.33,clear sky,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
Iranduba,BR,87.8,-3.28,-60.19,scattered clouds,Evolução Ecolodge
Jiquipilas,MX,84.2,16.67,-93.65,clear sky,Hotel Jardín del Valle INN
Namibe,AO,75.25,-15.2,12.15,clear sky,Chik-Chik Namibe
Mareeba,AU,72.0,-17.0,145.43,scattered clouds,Trinity Plains Tourist Park
Paranhos,BR,79.5,-23.89,-55.43,scattered clouds,Hotel América
Ugoofaaru,MV,84.2,5.67,73.0,few clouds,Ungoofaaru Inn
Luderitz,,80.6,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
Zaranj,AF,73.4,30.97,61.88,thunderstorm,غزنوی هوتل
Lata,PT,71.01,40.16,-8.33,few clouds,Casa Maquia
Sharjah,AE,87.8,25.36,55.4,clear sky,Swiss Belhotel Sharjah
Mandal,IN,77.95,25.45,74.57,clear sky,पीपी वाले हनुमान जी
Mecca,SA,79.05,21.43,39.83,clear sky,Hotel Fairmont Makkah Clock Royal Tower
Port Blair,IN,82.56,11.67,92.75,clear sky,Hotel Sentinel
Tocopilla,CL,84.92,-22.09,-70.2,few clouds,Hotel Galvarino
Sorong,ID,78.1,-0.88,131.25,overcast clouds,The Waigo Hotel
Santa Rosalia,MX,74.88,27.32,-112.28,overcast clouds,Hotel Las Casitas Santa Rosalia
Meulaboh,ID,80.06,4.14,96.13,overcast clouds,Kost Pria
Nanakuli,US,73.4,21.39,-158.15,few clouds,Camp Palehua
Itarema,BR,82.4,-2.92,-39.92,thunderstorm with light rain,Windvillage
Ubatuba,BR,82.4,-23.43,-45.07,light rain,Hotel Pousada Dellamares
Suez,EG,74.71,29.97,32.53,clear sky,Green House
Omboue,GA,80.85,-1.57,9.26,overcast clouds,Hotel Olako
Camana,PE,77.45,-16.62,-72.71,clear sky,Hostal Morales
The Valley,AI,86.0,18.22,-63.06,few clouds,CeBlue Villas & Beach Resort
Venado Tuerto,AR,73.99,-33.75,-61.97,clear sky,La Bianca.
Mackay,AU,71.01,-21.15,149.2,scattered clouds,International Lodge Motel
Bandarbeyla,SO,81.12,9.49,50.81,broken clouds,REER XOOSHLE GROUP
Rio Claro,BR,86.0,-22.41,-47.56,broken clouds,Hotel Vivendas Rio Claro
Daru,PG,77.58,-9.08,143.21,clear sky,New century hotel
Alta Floresta,BR,87.8,-9.88,-56.09,scattered clouds,Floresta Amazonica Hotel
Boquira,BR,88.38,-12.82,-42.73,clear sky,Restaurante e Pousada Boquira
