,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Bluff,NZ,2020-04-02 19:48:29,-46.6,168.33,53.01,95,53,3.0,broken clouds,0.0,0.0
1,Khani,GE,2020-04-02 19:49:46,41.96,42.96,42.8,93,75,6.93,mist,0.0,0.0
2,Alyangula,AU,2020-04-02 19:49:46,-13.85,136.42,73.4,100,30,3.36,scattered clouds,0.0,0.0
3,Saldanha,ZA,2020-04-02 19:49:46,-33.01,17.94,75.2,33,0,8.05,clear sky,0.0,0.0
4,Fukue,JP,2020-04-02 19:49:47,32.69,128.84,57.13,53,100,9.64,overcast clouds,0.0,0.0
5,Torbay,CA,2020-04-02 19:48:28,47.67,-52.73,41.0,100,90,16.11,fog,0.0,0.0
6,Tuktoyaktuk,CA,2020-04-02 19:48:25,69.45,-133.04,3.2,65,5,25.28,clear sky,0.0,0.0
7,Bolobo,CD,2020-04-02 19:49:48,-2.17,16.23,77.72,77,54,4.99,light rain,0.05433070866141732,0.0
8,Aberdeen,GB,2020-04-02 19:49:48,57.14,-2.1,39.99,48,0,12.75,clear sky,0.0,0.0
9,Aitape,PG,2020-04-02 19:48:35,-3.14,142.35,79.07,85,94,14.2,light rain,0.08149606299212599,0.0
10,Ushuaia,AR,2020-04-02 19:48:30,-54.8,-68.3,62.6,45,75,14.99,broken clouds,0.0,0.0
11,Cidreira,BR,2020-04-02 19:49:20,-30.18,-50.21,73.31,63,33,20.6,light rain,0.01141732283464567,0.0
12,Mataura,NZ,2020-04-02 19:48:26,-46.19,168.86,53.01,95,49,3.0,scattered clouds,0.0,0.0
13,Kapaa,US,2020-04-02 19:48:44,22.08,-159.32,78.8,69,40,5.82,scattered clouds,0.0,0.0
14,Semme,FR,2020-04-02 19:49:49,46.2,1.5,46.4,49,0,8.05,clear sky,0.0,0.0
15,Esperance,AU,2020-04-02 19:48:31,-33.87,121.9,57.2,71,90,13.87,overcast clouds,0.0,0.0
16,South Lake Tahoe,US,2020-04-02 19:49:50,38.93,-119.98,50.0,37,1,5.82,clear sky,0.0,0.0
17,Rikitea,PF,2020-04-02 19:48:20,-23.12,-134.97,77.05,73,85,6.73,light rain,0.02716535433070866,0.0
18,Mar Del Plata,AR,2020-04-02 19:46:33,-38.0,-57.56,66.0,55,40,20.8,scattered clouds,0.0,0.0
19,Busselton,AU,2020-04-02 19:47:48,-33.65,115.33,55.0,51,89,10.8,overcast clouds,0.0,0.0
20,Deputatskiy,RU,2020-04-02 19:48:22,69.3,139.9,-14.28,81,10,3.87,clear sky,0.0,0.0
21,Usinsk,RU,2020-04-02 19:49:51,65.99,57.53,6.62,90,56,2.91,broken clouds,0.0,0.0
22,Waingapu,ID,2020-04-02 19:49:07,-9.66,120.26,78.42,76,68,5.35,broken clouds,0.0,0.0
23,Cape Town,ZA,2020-04-02 19:46:53,-33.93,18.42,66.99,72,0,5.82,clear sky,0.0,0.0
24,Kavieng,PG,2020-04-02 19:48:56,-2.57,150.8,82.83,75,15,5.41,light rain,0.012598425196850395,0.0
25,Qaanaaq,GL,2020-04-02 19:48:17,77.48,-69.36,-0.89,83,96,5.41,overcast clouds,0.0,0.0
26,Nikolskoye,RU,2020-04-02 19:48:34,59.7,30.79,39.99,86,40,6.71,scattered clouds,0.0,0.0
27,Jamestown,US,2020-04-02 19:46:32,42.1,-79.24,51.8,45,1,11.41,clear sky,0.0,0.0
28,Saint-Marc,HT,2020-04-02 19:49:53,19.11,-72.69,82.08,60,42,7.52,light rain,0.012598425196850395,0.0
29,Groningen,NL,2020-04-02 19:49:53,53.25,6.75,46.99,81,75,13.87,broken clouds,0.0,0.0
30,Puerto Escondido,MX,2020-04-02 19:49:53,15.85,-97.07,82.4,74,20,11.41,few clouds,0.0,0.0
31,Barillas,GT,2020-04-02 19:49:54,15.8,-91.32,74.88,40,52,3.2,moderate rain,0.11968503937007875,0.0
32,Bambous Virieux,MU,2020-04-02 19:49:07,-20.34,57.76,77.0,94,40,3.36,scattered clouds,0.0,0.0
33,Byron Bay,AU,2020-04-02 19:47:45,-28.65,153.62,70.0,94,35,4.7,scattered clouds,0.0,0.0
34,Ancud,CL,2020-04-02 19:48:49,-41.87,-73.82,64.4,55,1,6.93,clear sky,0.0,0.0
35,Illela,NG,2020-04-02 19:49:54,13.73,5.3,91.02,16,98,4.92,overcast clouds,0.0,0.0
36,Hermanus,ZA,2020-04-02 19:48:22,-34.42,19.23,66.99,69,5,5.99,clear sky,0.0,0.0
37,Chakwal,PK,2020-04-02 19:49:55,32.93,72.86,55.4,87,0,6.93,clear sky,0.0,0.0
38,Longyearbyen,SJ,2020-04-02 19:49:30,78.22,15.64,-5.8,76,40,3.36,light snow,0.0,0.0
39,Nuuk,GL,2020-04-02 19:49:56,64.18,-51.72,15.8,56,5,19.46,clear sky,0.0,0.0
40,Barrow,US,2020-04-02 19:48:22,71.29,-156.79,10.4,85,20,9.17,few clouds,0.0,0.0
41,Leningradskiy,RU,2020-04-02 19:49:56,69.38,178.42,4.77,86,4,3.24,clear sky,0.0,0.0
42,Chuy,UY,2020-04-02 19:48:31,-33.7,-53.46,65.12,63,79,25.59,broken clouds,0.0,0.0
