City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-03-31 20:53:46,-34.53,20.04,66.2,55,28,8.05
1,Sitka,US,2020-03-31 20:53:46,57.05,-135.33,35.6,43,20,6.93
2,Hermanus,ZA,2020-03-31 20:53:47,-34.42,19.23,63.0,85,46,14.76
3,Vaini,TO,2020-03-31 20:51:07,-21.2,-175.2,80.6,83,40,5.82
4,Huarmey,PE,2020-03-31 20:51:38,-10.07,-78.15,79.38,61,53,8.55
5,Saskylakh,RU,2020-03-31 20:53:47,71.92,114.08,-6.92,89,96,13.18
6,Punta Arenas,CL,2020-03-31 20:53:47,-53.15,-70.92,57.2,58,75,17.22
7,Yerbogachen,RU,2020-03-31 20:53:47,61.28,108.01,16.32,94,100,5.59
8,Cape Town,ZA,2020-03-31 20:48:56,-33.93,18.42,64.0,77,20,20.8
9,Nikolskoye,RU,2020-03-31 20:51:06,59.7,30.79,32.0,95,40,13.42
10,Castro,BR,2020-03-31 20:53:48,-24.79,-50.01,70.81,52,3,1.63
11,Saint-Pierre,RE,2020-03-31 20:53:48,-21.34,55.48,77.0,83,90,5.82
12,Moron,AR,2020-03-31 20:53:48,-34.65,-58.62,73.99,83,75,16.11
13,Jamestown,US,2020-03-31 20:53:49,42.1,-79.24,46.0,75,90,12.75
14,Qaanaaq,GL,2020-03-31 20:53:49,77.48,-69.36,7.83,73,91,2.84
15,Puerto Ayora,EC,2020-03-31 20:53:49,-0.74,-90.35,84.2,70,20,11.41
16,Geraldton,AU,2020-03-31 20:53:49,-28.77,114.6,64.4,77,65,10.29
17,Misratah,LY,2020-03-31 20:53:50,32.38,15.09,60.75,71,0,7.81
18,Rikitea,PF,2020-03-31 20:53:50,-23.12,-134.97,78.69,73,100,8.08
19,Ushuaia,AR,2020-03-31 20:52:59,-54.8,-68.3,50.0,66,40,11.41
20,Kruisfontein,ZA,2020-03-31 20:53:50,-34.0,24.73,59.56,81,0,12.19
21,Butaritari,KI,2020-03-31 20:53:50,3.07,172.79,83.55,78,82,18.19
22,Hilo,US,2020-03-31 20:53:24,19.73,-155.09,77.0,78,90,6.93
23,Coahuayana,MX,2020-03-31 20:53:50,18.73,-103.68,86.0,40,5,11.41
24,Nara,JP,2020-03-31 20:53:51,34.69,135.8,57.99,87,75,13.87
25,Wairoa,NZ,2020-03-31 20:53:51,-39.03,177.37,63.0,84,45,1.99
26,Lebu,CL,2020-03-31 20:53:51,-37.62,-73.65,58.98,69,1,18.77
27,Mataura,NZ,2020-03-31 20:50:46,-46.19,168.86,50.0,98,23,1.9
28,New Norfolk,AU,2020-03-31 20:53:51,-42.78,147.06,54.0,81,20,5.82
29,Lagoa,PT,2020-03-31 20:53:52,39.05,-27.98,57.34,68,100,27.65
30,Pevek,RU,2020-03-31 20:53:52,69.7,170.31,-0.89,92,49,4.16
31,Hasaki,JP,2020-03-31 20:53:52,35.73,140.83,50.0,93,75,10.29
32,Okhotsk,RU,2020-03-31 20:53:52,59.38,143.3,15.26,93,69,2.95
33,Elliot Lake,CA,2020-03-31 20:53:52,46.38,-82.63,42.8,75,90,12.75
34,Caravelas,BR,2020-03-31 20:53:53,-17.71,-39.25,79.43,84,77,9.01
35,Saint George,US,2020-03-31 20:53:03,37.1,-113.58,68.0,25,1,3.36
36,Kieta,PG,2020-03-31 20:53:53,-6.22,155.63,79.02,81,99,4.5
37,Guerrero Negro,MX,2020-03-31 20:53:53,27.98,-114.06,79.32,21,100,6.44
38,Hithadhoo,MV,2020-03-31 20:53:53,-0.6,73.08,83.03,70,50,9.71
39,Jerome,US,2020-03-31 20:53:53,42.72,-114.52,55.4,62,75,17.22
40,Lapeer,US,2020-03-31 20:51:14,43.05,-83.32,46.4,93,90,5.82
41,Saint-Philippe,RE,2020-03-31 20:53:53,-21.36,55.77,77.0,83,90,5.82
42,Waipawa,NZ,2020-03-31 20:53:54,-41.41,175.52,55.0,93,0,8.05
43,Kahului,US,2020-03-31 20:53:54,20.89,-156.47,75.2,73,40,10.29
44,Hovd,MN,2020-03-31 20:53:54,48.01,91.64,19.06,62,0,4.45
45,Avarua,CK,2020-03-31 20:53:54,-21.21,-159.78,81.16,78,4,9.75
46,Japitan,PH,2020-03-31 20:53:54,10.13,123.5,77.0,83,40,5.82
47,Bluff,NZ,2020-03-31 20:53:54,-46.6,168.33,50.0,98,31,4.07
48,Neiafu,TO,2020-03-31 20:53:55,-18.65,-173.98,81.73,77,99,6.64
49,Port Alfred,ZA,2020-03-31 20:53:55,-33.59,26.89,68.67,79,99,17.67
50,Moree,AU,2020-03-31 20:53:55,-29.47,149.85,60.8,82,0,13.87
51,Talnakh,RU,2020-03-31 20:50:36,69.49,88.4,12.2,85,75,15.66
52,Karratha,AU,2020-03-31 20:53:55,-20.74,116.85,84.33,27,100,9.01
53,Cidreira,BR,2020-03-31 20:53:55,-30.18,-50.21,74.84,81,99,13.53
54,Byron Bay,AU,2020-03-31 20:53:55,-28.65,153.62,70.0,100,32,5.82
55,Busselton,AU,2020-03-31 20:53:56,-33.65,115.33,55.99,73,98,6.24
56,Luderitz,NA,2020-03-31 20:53:56,-26.65,15.16,64.4,63,0,11.41
57,Port Lincoln,AU,2020-03-31 20:53:56,-34.73,135.87,62.56,76,100,5.64
58,Port Blair,IN,2020-03-31 20:53:56,11.67,92.75,81.12,74,71,4.25
59,Arraial Do Cabo,BR,2020-03-31 20:53:57,-22.97,-42.03,78.8,83,75,11.41
60,Tromso,NO,2020-03-31 20:51:20,69.65,18.96,28.4,74,75,21.92
61,Puerto Carreno,CO,2020-03-31 20:53:57,6.19,-67.49,98.6,32,40,6.93
62,Carnarvon,AU,2020-03-31 20:50:52,-24.87,113.63,69.8,77,96,10.29
63,Nome,US,2020-03-31 20:53:57,64.5,-165.41,23.0,100,90,10.29
